Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,7/25/2024,5320,180
Van Tuxwell,India,85% Dark Bars,8/13/2024,7896,94
Gigi Bohling,India,Peanut Butter Cubes,4/27/2024,4501,91
Jan Morforth,Australia,Peanut Butter Cubes,11/3/2024,12726,342
Jehu Rudeforth,UK,Peanut Butter Cubes,6/19/2024,13685,184
Van Tuxwell,India,Smooth Sliky Salty,9/19/2024,5376,38
Oby Sorrel,UK,99% Dark & Pure,6/19/2024,13685,176
Gunar Cockshoot,Australia,After Nines,6/6/2024,3080,73
Jehu Rudeforth,New Zealand,50% Dark Bites,12/3/2024,3990,59
Brien Boise,Australia,99% Dark & Pure,10/5/2024,2835,102
Rafaelita Blaksland,UK,Smooth Sliky Salty,11/16/2024,4704,62
Barr Faughny,USA,Orange Choco,2/19/2024,3703,11
Mallorie Waber,Canada,Eclairs,12/12/2024,1442,286
Karlen McCaffrey,New Zealand,Drinking Coco,6/16/2024,168,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,12/9/2024,8379,173
Beverie Moffet,Australia,Organic Choco Syrup,8/3/2024,6790,356
Van Tuxwell,Canada,Organic Choco Syrup,2/18/2024,4067,42
Roddy Speechley,USA,Smooth Sliky Salty,4/4/2024,3017,140
Beverie Moffet,Canada,Milk Bars,2/2/2024,8799,250
Curtice Advani,UK,85% Dark Bars,12/20/2024,1085,172
Brien Boise,Australia,Eclairs,11/9/2024,6888,88
Gunar Cockshoot,USA,Spicy Special Slims,6/20/2024,1267,157
Marney O'Breen,USA,After Nines,1/4/2024,4753,163
Husein Augar,UK,Drinking Coco,3/21/2024,3003,113
Kaine Padly,Australia,Eclairs,1/1/2024,7672,115
Karlen McCaffrey,India,Fruit & Nut Bars,6/16/2024,168,321
Roddy Speechley,Canada,Spicy Special Slims,7/9/2024,1652,186
Husein Augar,USA,Eclairs,1/7/2024,4025,112
Dennison Crosswaite,New Zealand,White Choc,12/26/2024,9492,151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,11/8/2024,5061,301
Van Tuxwell,New Zealand,85% Dark Bars,9/17/2024,1722,121
Rafaelita Blaksland,UK,99% Dark & Pure,1/27/2024,12446,150
Wilone O'Kielt,Australia,Manuka Honey Choco,9/23/2024,4284,94
Karlen McCaffrey,UK,Almond Choco,9/21/2024,6839,133
Andria Kimpton,Canada,After Nines,12/2/2024,2163,70
Roddy Speechley,USA,Manuka Honey Choco,3/27/2024,9583,315
Andria Kimpton,UK,50% Dark Bites,4/6/2024,2653,314
Kelci Walkden,New Zealand,After Nines,5/26/2024,147,72
Camilla Castle,Australia,85% Dark Bars,1/1/2024,3654,14
Karlen McCaffrey,India,Manuka Honey Choco,9/8/2024,2443,581
Kelci Walkden,USA,After Nines,7/26/2024,938,16
Karlen McCaffrey,USA,Raspberry Choco,5/18/2024,14749,354
Mallorie Waber,Canada,Choco Coated Almonds,2/1/2024,4781,241
Andria Kimpton,India,Spicy Special Slims,4/7/2024,6307,142
Madelene Upcott,Canada,Almond Choco,10/23/2024,7602,102
Kaine Padly,USA,Peanut Butter Cubes,8/3/2024,6790,188
Van Tuxwell,USA,50% Dark Bites,8/28/2024,9737,160
Curtice Advani,Australia,Milk Bars,2/8/2024,6979,18
Roddy Speechley,India,Eclairs,12/30/2024,4382,303
Curtice Advani,India,Fruit & Nut Bars,5/9/2024,5243,176
Curtice Advani,Canada,Almond Choco,4/26/2024,4865,70
Brien Boise,Australia,Fruit & Nut Bars,6/23/2024,8575,23
Dotty Strutley,Australia,Drinking Coco,3/31/2024,91,135
Beverie Moffet,USA,Raspberry Choco,7/6/2024,14798,83
Marney O'Breen,India,85% Dark Bars,1/13/2024,2205,179
Jehu Rudeforth,Canada,Drinking Coco,3/16/2024,441,24
Ches Bonnell,New Zealand,Spicy Special Slims,9/25/2024,3556,18
Brien Boise,Canada,99% Dark & Pure,12/22/2024,16793,416
Barr Faughny,Australia,Fruit & Nut Bars,3/21/2024,15421,55
Andria Kimpton,Australia,50% Dark Bites,2/24/2024,4438,227
Andria Kimpton,Australia,Drinking Coco,5/21/2024,1603,48
Marney O'Breen,Australia,Organic Choco Syrup,9/29/2024,273,174
Kelci Walkden,Canada,Baker's Choco Chips,5/30/2024,3073,302
